Area No.,Depot No.,Office Address,Phone No.
Area VII,80,"Pandian St., Prakash Nagar, Ambattur, Chennai-53",-
Area VII,81,"Vivek Nagar,Venkatapuram, Ambattur, Chennai-53",-
Area VII,82,"Pilliar Koil St., Library Room, Kallikuppam, Ambattur, Chennai-53",-
Area VII,83,"Korattur Pump House, 31st Street, Korattur, Chennai-80",26870707
Area VII,84,"Korattur Pump House, 31st Street, Korattur, Chennai-80",26870707
Area VII,85,"MTH Road, Opp TI Cycles, Ambattur,Chennai-53",-
Area VII,86,"Athipattu Over Head Tank, Vanagaram Road, Athipattu, Ambattur, Ch-58",-
Area VII,87,"No.1, T.S.Krishna Nagar main road,Mogappair, Ch-101",26565449
Area VII,88,"Park Road, Anna Nagar West, Chennai-101",26540402
Area VII,89,"No.1, T.S.Krishna Nagar main road,Mogappair, Ch-101",26565449
Area VII,90,"Park Road, Anna Nagar West, Chennai-101",26540402
Area VII,91,"Filling Point Road, Mogappair West, Ch-37",26530413
Area VII,92,"Mogappair East Head Works, 12th Block, Chennai-37",26562456
Area VII,93,"Mogappair East Head Works, 12th Block, Chennai-37.",26562456
Area VIII,94,"Ist Main Road, SIDCO Nagar,Villivakkam, Chennai-49.",26171936
Area VIII,95,"1630, J Block, Vth Street, Ch-40",26162764
Area VIII,96,"No.297, K.H.Road, Ayanavaram, Chennai-23",26740324
Area VIII,97,"No.10 Solai St, Chennai-23",26449172
Area VIII,98,"No.1, New Avadi Road, Shaft Road, Kilpauk, Chennai-10",26448876
Area VIII,99,"1630,J Block, V Street,Anna Nagar West, Chennai-40",26162764
Area VIII,100,"A1,Block 139, Ist Street, Naduvankarai, Chennai-40",26211574
Area VIII,101,"H-7,11 Block,2nd st,Anna Nagar, Chennai-40",26221058
Area VIII,102,"Temple Street, Chennai-10",26475871
Area VIII,103,"16, Branson Garden Road, Chennai-10",26442494
Area VIII,104,"Lattangs Road, Chennai-84",26431189
Area VIII,105,"OHT MMDA Colony, Arumbakkam, Chennai-106",23631067
Area VIII,106,"No.4,Narasimman Street, Aminjikarai, Chennai-29",23740885
Area VIII,107,"No.11, Subarayan Street,Chennai-29",26681039
Area VIII,108,"Water Tank Road, MMDA Colony, Arumbakkam, Chennai-106",23632940
Area IX,109,"No.136/111, Choolaimedu High Road, Chennai-94",24726795
Area IX,110,"No.1, Lake Area 7th Main Road, Nungambakkam,Chennai-34",28175158
Area IX,111,"No.5,Greams Road,Thousand Light, Chennai-6",28291026
Area IX,112,"No.15,Pullyur Main Road,Trustpuram,Kodambakkam, Ch-24",24726574
Area IX,113,"No.30,Noor Veerasamy Street,Nungambakkam,Chennai-34",28279026
Area IX,114,"No.2, Subadral St.,Triplicane, Ch-5",28545089
Area IX,115,"No.17, Jani John Khan St,Royapettah, Chennai-14",28546536
Area IX,116,"Old No.3,New No.5, Dr.Besant Road,Ice House, Chennai-5",28446010
Area IX,117,"No.1 Dr. Thomas Road,T Nagar, Chennai-17",24340195
Area IX,118,"No.11, Conronsmith Road,Gopalapuram, Ch-86",28351426
Area IX,119,"No.5 6th Cross Street, CIT Colony, Alwarpet,Ch-4",24994215
Area IX,120,"No.5, Muthaiah Street, Royapetah, Ch-14",28475920
Area IX,121,"No.24,Brindavan St.,Mylapore,ch-4.",24981273
Area IX,122,"Anna Park, Thiruvalluvar Salai,Alwarpet, Ch-18",24356905
Area IX,123,"No.31, C.P.Ramasamy Road,Alwarpet, Chennai-18",24996792
Area IX,124,"No.41, Mundakanniamman Koil St., Chennai-4",24983624
Area IX,125,"No.28, Prof.Sanjeevi St,Mylapore, Chennai-4",24670321
Area IX,126,"No.50, West Circular Road, Mandavelipakkam, ch-28",24956871
Area X,127,"Kaliamman Koil St., Koyambedu",24790646
Area X,128,"No.11A, Alagirisamy Road,K.K Nagar, Chennai-78",23663171
Area X,129,"K.K. Nagar Double Tank, R.K Shanmugam Salai, Ch-78",23663202
Area X,130,"Puliyurpuram Housing Board Quarters, Vannarapathai,Kodambakkam,Ch-24",24814794
Area X,131,"No.33A, Bobbily Raja St., K.K.Nagar,Chennai-78",23663213
Area X,132,"No.12B, 1st Avenue, Ashok Nagar, Chennai-83",24892290
Area X,133,"No.1, Bakthavatchalam St,West Mambalam, Chennai-33",24748788
Area X,134,"7, 5th Cross St., U.I.Colony, Ch-24",24726432
Area X,135,"No.1,Bakthavatchalam Street,West Mambalam,Chennai-33",24748788
Area X,136,"No.105, Theagaraya Road, Chennai-17",28151202
Area X,137,"No.11A, Alagirisamy Road,K.K.Nagar,Chennai-78",23663171
Area X,138,"48A, Pammal Nallathambi St,M.G.R. Nagar, Chennai-83",24710131
Area X,139,"69th Street,R.V.Nagar,Jafferkhanpet, Ch-83.",23713185
Area X,140,"No.9 Reddy Kuppam Road,Saidapet, Chennai-15",23810853
Area X,141,"138, South West Boag Road,T Nagar, Ch-17.",24345069
Area X,142,"383,Anna Salai,Saidapet,Chennai-15.",24357252
Area XI,143,"Nolambur Phase I, Pumping Station, IV Main Road, Nolambur, Ch-95.",-
Area XI,144,"Chennai Corporation Zone 11 office, Poonamalle High Road, Maduravoyal,Chennai-95.",-
Area XI,145,"Nerkundram, Panchayat Office, 6, Karunnigar Street, Nerkundram, Ch-107",-
Area XI,146,"Alapakkam Filling station, Gengai Amman Koil Street, Maduraval, Chennai-95.",-
Area XI,147,"Alapakkam Filling station, Gengai Amman Koil Street, Maduraval, Chennai-95.",24345069
Area XI,148,"Nerkundram, Panchayat Office, 6, Karunnigar Street, Nerkundram, ch-107",24357252
Area XI,149,"Sewage Pumping station, Kambar Street,R.K.kambar Street, Valasaravakkam, Ch-87",24345069
Area XI,150,"Karambakkam, Panchayat Office, 1, Mullai Street, Ponni Nagar, Karambakkam, Ch-106.",24357252
Area XI,151,"Porur Head Works, Senthil Nagar School Road, Porur, Ch-116",24345069
Area XI,152,"Kadamban Street, Madurai Meenakshi Nagar Sewage, Pumping Station, Valasaravakkam, Chennai-87",-
Area XI,153,"Porur Head Works, Senthil Nagar School Road, Porur, Ch-116",-
Area XI,154,"Ramapuram Head works, Kurinji Nagar Main road, Ramapuram, Ch-89",-
Area XI,155,"Ramapuram Panchyat Office, Bajanai Koil St, Ramapuram,Ch-89",-
Area XII,156,"No.1/330, Padasalai St. Mugalivakkam, Chennai-125.",-
Area XII,157,"No.2/336, M.G Road, Manapakkam, Chennai-89",-
Area XII,158,"No.102, Bajanai Koil Street, Nandambakkam, Chennai-89",24357252
Area XII,159,"No.8, Kamaraj Street, Meenambakkam, Chennai-27",-
Area XII,160,"New Street, Alandur OHT, Alandur, Chennai-16",-
Area XII,161,"Masthan Gory St.,Adambakkam, Chennai-88",-
Area XII,162,"Kannan Colony, Community Hall, Alandur, Chennai-16",-
Area XII,163,"29th St., Nanganallur Over Head Tank, Nanganallur, Chennai-61",-
Area XII,164,"29th St., Nanganallur Over Head Tank, Nanganallur, Chennai-61",-
Area XII,165,"Over Head Tank, Balaji Nagar main Road, Adambakkam, Chennai-88.",-
Area XII,166,"B.V Nagar Over Head Tank, Pazhavanthangal, Chennai-114",-
Area XII,167,"B.V Nagar Over Head Tank, Pazhavanthangal, Chennai-114",-
Area XIII,170,"Balaji Nagar, Chennai-97",22254562
Area XIII,171,"383,Anna Salai, Chennai-25",24357252
Area XIII,172,"1st Main Road, Kottur Garden Chennai-85",24470195
Area XIII,173,"No.128, R.K.Mutt Road,Chennai-28",24938658
Area XIII,174,"1, Nagendra Nagar,Velachery Main Road, Chennai -42.",22441855
Area XIII,175,"No 24,Bakthavatchalam Nagar, 5th Cross St., Adyar Chennai-20",24452296
Area XIII,176,"No.76/3, 3rd, Avenue Besant Nagar OHT., Chenai-90.",24911477
Area XIII,177,"Justice Radhakrishnan Salai, TNHB, Periyar nagar Ch-42",22447600
Area XIII,178,"Rajalakshmi Nagar 8th Cross St., Velachery,Ch-42",22552755
Area XIII,179,"Rajalakshmi Nagar 8th Cross St., Velachery,Ch-42",22552755
Area XIII,180,"2nd Avenue, Indira Nagar OHT, Chennai-20.",24910932
Area XIII,181,"No.53, North Mada St., Thiruvanmiyur, Chennai-41",24416008
Area XIII,182,"No.53,North Mada St., Thiruvanmiyur, Chennai-41.",24416008
Area XIV,168,"Otteri Salai Puzhuthivakkam, Ch-91",-
Area XIV,169,"Otteri Salai Puzhuthivakkam, Ch-91.",24911477
Area XIV,183,"East Coast Road, Srinivasapuram, Kottivakkam, Chennai-41",-
Area XIV,184,"Panchayat Office Road, Perungudi, Chennai-96",-
Area XIV,185,"Panchayat Office Road, Perungudi, Chennai-96",-
Area XIV,186,"Panchayat Office Road, Perungudi, Chennai-96",-
Area XIV,187,"Kulakkarai Road, Near Bus Terminus,Madipakkam, Chennai-91",-
Area XIV,188,"Kulakkarai Road, Near Bus Terminus,Madipakkam, Chennai-91",-
Area XIV,189,"1st Cross Street, IIT Colony, Pallikaranai, Chenai-100.",-
Area XIV,190,"Chunnambu Kolthur Road, Pallikaranai, Chennai-100",-
Area XIV,191,"Veerathamman Koil Street, Jalladampet Ch-100",-
Area XV,192,"No.1, Kabaleeswarar Nagar,ECR,Neelangarai, Chennai-115",-
Area XV,193,"Rajiv Gandhi Salai, Near, Govt.H.S.School,Okkium,Thoraipakkam,Ch-97",-
Area XV,194,"Corporation Park, 4/764, Chandrasekaran Avenue, Mettukuppam, Ch-97",-
Area XV,195,"101, Gangai Amman Koil Street, Karapakkam Ch-97",-
Area XV,196,"East coast Road, Near Govt. Peripheral Hospital, Injambakkam, Ch-115",-
Area XV,197,"101, Gangai Amman Koil Street, Karapakkam Ch-97",-
Area XV,198,"No.120, Rajiv Gandhi Salai, Sholinganallur, Chennai-119",24500262
Area XV,199,"No.1/186, Senkaliamman Koil Street, Utthandi,Chennai-119",-
Area XV,200,"Pazhathotta Salai, Semmenchery, Chennai-119",-
