Area,Area / Depot,Area and Depot Office Address,Phone No.
Area – X,128,"No.11A, Alagirisamy Road,K.K Nagar, Chennai-78",23663171
Area – X,129,"K.K. Nagar Double Tank, R.K Shanmugam Salai, Ch-78",23663202
Area – X,130,"Puliyurpuram Housing Board Quarters, Vannarapathai,Kodambakkam,Ch-24",24814794
Area – X,131,"No.33A, Bobbily Raja St., K.K.Nagar,Chennai-78",23663213
Area – X,132,"No.12B, 1st Avenue, Ashok Nagar, Chennai-83.",24892290
Area – X,133,"No.1, Bakthavatchalam St,West Mambalam, Chennai-33",24748788
Area – X,134,"7, 5th Cross St., U.I.Colony, Ch-24",24726432
Area – X,135,"No.1,Bakthavatchalam Street,West Mambalam,Chennai-33",24748788
Area – X,136,"No.105, Theagaraya Road, Chennai-17",28151202
Area – X,137,"No.11A, Alagirisamy Road,K.K.Nagar,Chennai-78",23663171
Area – X,138,"48A, Pammal Nallathambi St,M.G.R. Nagar, Chennai-83",24710131
Area – X,140,"No.9 Reddy Kuppam Road,Saidapet, Chennai-15.",23810853
Area – X,141,"138, South West Boag Road,T Nagar, Ch-17.",24345069
Area – X,142,"383,Anna Salai,Saidapet,Chennai-15.",24357252
Area – XI,Area Office,"No.8A, Gangai Amman Koil Street,Alapakkam, Chennai-600 116",24867244
Area – XI,144,"Chennai Corporation Zone 11 office, Poonamalle High Road, Maduravoyal,Chennai-95.",NA
Area – XI,152,"Kadamban Street, Madurai Meenakshi Nagar Sewage, Pumping Station, Valasaravakkam, Chennai-87",NA
Area – XI,155,"Ramapuram Panchyat Office, Bajanai Koil St, Ramapuram,Ch-89",NA
Area – XII,Area Office,"No.1, New Street, Alandur, Chennai-600 016",22331606
Area – XII,156,"No.1/330, Padasalai St. Mugalivakkam, Chennai-125",NA
Area – XII,157,"No.2/336, M.G Road, Manapakkam, Chennai-89",NA
Area – XII,163,"29th St., Nanganallur Over Head Tank, Nanganallur, Chennai-61",NA
Area – XII,164,"29th St., Nanganallur Over Head Tank, Nanganallur, Chennai-61",NA
Area – XII,167,"B.V Nagar Over Head Tank, Pazhavanthangal, Chennai-114",NA
Area – XIII,Area Office,"No.42, First Main Road, Chennai-600 020, Adayar",24451121
Area – XIII,170,"Balaji Nagar, Ekkattuthangal, Chennai-097",22254562
Area – XIII,171,"383,Anna Salai, Chennai-25",24357252
Area – XIII,172,"1st Main Road, Kottur Garden Chennai-85",24470195
Area – XIII,173,"No.128, R.K.Mutt Road,Chennai-28",24938658
Area – XIII,174,"1, Nagendra Nagar,Velachery Main Road, Chennai -42",22441855
Area – XIII,176,"No.76/3, 3rd Avenue Besant Nagar OHT., Chennai-90.",24911477
Area – XIII,177,"Justice Radhakrishnan Salai, TNHB, Periyar nagar Ch-42",22447600
Area – XIII,178,"Rajalakshmi Nagar 8th Cross St., Velachery,Ch-42",22552755
Area – XIII,179,"Rajalakshmi Nagar 8th Cross St., Velachery,Ch-42",22552755
Area – XIII,181,"No.53, North Mada St., Thiruvanmiyur, Chennai-41",24416008
Area – XIII,182,"No.53, North Mada St., Thiruvanmiyur, Chennai-41",24416008
Area – XIV,Area Office,"Rajiv Gandhi Road, Kottivakkam, Chennai 600 041",22422566
Area – XIV,168,"Otteri Salai Puzhuthivakkam, Ch-91",NA
Area – XIV,185,"Panchayat Office Road, Perungudi, Chennai-96",NA
Area – XIV,187,"Kulakkarai Road, Near Bus Terminus,Madipakkam, Chennai-91",NA
Area – XIV,191,"Veerathamman Koil Street, Jalladampet Ch-100",NA
Area – XV,Area Office,"Kamarajar salai, Sholinganallur, Chennai 600 119(Near Corpn. High School (Opp to Prithingradevi Temple).",24500262
Area – XV,192,"No.1, Kabaleeswarar Nagar,ECR,Neelangarai, Chennai-115",NA
Area – XV,193,"Rajiv Gandhi Salai, Near, Govt.H.S.School,Okkium,Thoraipakkam,Ch-97",NA
